traveller_type,city,n,mean_composite,median_composite,std,ci95,mean_delta,rank
Business,Amsterdam,460.0,8.899565217391304,8.9,0.12008247486852419,0.010973793549628954,-0.3112318840579709,1
Business,Dubai,434.0,8.892758393680053,8.9,0.12207163598072798,0.011484867034692437,-0.31939324116743495,2
Business,Singapore,407.0,8.85201825201825,8.842857142857143,0.11974476587841416,0.0116336342517361,-0.2967239967239966,3
Business,Toronto,430.0,8.849900332225912,8.85,0.12193724930891704,0.011525459193948142,-0.2761240310077521,4
Business,Shanghai,408.0,8.84593837535014,8.842857142857143,0.11441511542203292,0.011102208850622812,-0.2998774509803919,5
Business,Barcelona,440.0,8.832207792207791,8.82857142857143,0.12047488456105673,0.0112570929465196,-0.2965151515151514,6
Business,Rome,404.0,8.830445544554456,8.821428571428571,0.11281858505581667,0.011001351411985836,-0.29892739273927377,7
Business,Wellington,414.0,8.82087646652864,8.828571428571427,0.12158642687298253,0.011712267871757439,-0.27262479871175527,8
Business,Seoul,421.0,8.816593145571767,8.814285714285715,0.10851282124557292,0.010365638966747113,-0.2775930324623914,9
Business,Bangkok,415.0,8.808881239242686,8.814285714285713,0.11269511833691762,0.010842692141124264,-0.27068273092369455,10
Business,Berlin,458.0,8.806331877729258,8.814285714285713,0.1155313177571098,0.010580910949440808,-0.2706331877729255,11
Business,Cape Town,378.0,8.779591836734694,8.785714285714285,0.10957161662542089,0.011046081437295466,-0.25074955908289237,12
Business,Moscow,447.0,8.770405880472994,8.757142857142858,0.12173381608535866,0.01128531137282578,-0.257345264727815,13
Business,Tokyo,407.0,8.768374868374869,8.77142857142857,0.12226787587752129,0.011878763453761638,-0.2593366093366093,14
Business,Paris,418.0,8.739166097060835,8.72857142857143,0.11328807388044557,0.01086055760518013,-0.2597687400318979,15
Business,Istanbul,391.0,8.710230179028132,8.714285714285714,0.11578116931748277,0.011476398605215002,-0.2356351236146635,16
Business,Sydney,381.0,8.696775403074616,8.7,0.11778612106266523,0.01182735693102705,-0.23377077865266874,17
Business,London,382.0,8.67632759910247,8.671428571428573,0.11807569336789868,0.011840904936358013,-0.22255671902268773,18
Business,Rio de Janeiro,393.0,8.666666666666666,8.657142857142857,0.11482954911758728,0.01135307366287085,-0.2119592875318065,19
Business,New York,398.0,8.641780330222542,8.642857142857142,0.11064212251625627,0.01087013740447295,-0.18969849246231163,20
Business,Mumbai,386.0,8.63638045891932,8.62857142857143,0.11490477192466123,0.011463057847952153,-0.20803108808290158,21
Business,Buenos Aires,450.0,8.630571428571429,8.628571428571428,0.12225659553222272,0.011295933118760444,-0.19600000000000006,22
Business,Cairo,434.0,8.573963133640554,8.571428571428571,0.12132195663034478,0.011414334944345381,-0.15449308755760352,23
Business,Mexico City,419.0,8.560518240709172,8.557142857142857,0.12103209889906251,0.011589097713098186,-0.1668655529037389,24
Business,Lagos,396.0,8.495021645021644,8.499999999999998,0.1224774592495948,0.01206325885014577,-0.13257575757575749,25
Couple,Dubai,706.0,9.050121408336706,9.057142857142855,0.1154555740589011,0.008516646586948447,-0.15606704438149213,1
Couple,Amsterdam,631.0,9.049807561693457,9.057142857142855,0.1166474168475672,0.009101574274187691,-0.15805599577390375,2
Couple,Singapore,700.0,9.00669387755102,9.000000000000002,0.12059808883685652,0.008934031446255918,-0.13345238095238077,3
Couple,Shanghai,705.0,8.998926038500507,9.0,0.12025914109369112,0.008877273711050552,-0.14075650118203292,4
Couple,Rome,669.0,8.997480247704463,9.0,0.11397946945311052,0.008637133723728674,-0.12722969606377665,5
Couple,Barcelona,750.0,8.994933333333334,9.0,0.11184410101070133,0.008004579507533137,-0.12977777777777763,6
Couple,Toronto,676.0,8.985228233305158,8.985714285714286,0.11818252976576367,0.008909144551572953,-0.13865877712031577,7
Couple,Seoul,729.0,8.970233196159123,8.957142857142859,0.11540112058810038,0.008377266531580621,-0.1209647919524466,8
Couple,Wellington,725.0,8.968354679802955,8.971428571428572,0.11850493221916299,0.008626278877921743,-0.1219080459770115,9
Couple,Berlin,675.0,8.96162962962963,8.957142857142857,0.11542382688318227,0.008707623729528534,-0.11271604938271583,10
Couple,Bangkok,724.0,8.959944751381215,8.957142857142857,0.1196552159241263,0.008716024113305692,-0.11358195211786348,11
Couple,Cape Town,688.0,8.923193521594683,8.928571428571429,0.11183892872443299,0.008357085601622991,-0.10138081395348833,12
Couple,Tokyo,664.0,8.922009466437178,8.928571428571429,0.11684658076548494,0.008887672438635624,-0.10122991967871478,13
Couple,Moscow,649.0,8.916773057451024,8.914285714285715,0.11662795642692501,0.008972973577034044,-0.10713918849512064,14
Couple,Paris,714.0,8.897198879551821,8.9,0.11937495119776492,0.008756290725025814,-0.09516806722689082,15
Couple,Istanbul,664.0,8.863790877796902,8.87142857142857,0.11417415816086506,0.008684400622106073,-0.07700803212851433,16
Couple,Sydney,670.0,8.847441364605542,8.85,0.11885486098143662,0.008999857196529263,-0.07788557213930379,17
Couple,London,674.0,8.830987706655364,8.82857142857143,0.12151652900984562,0.009174057946583615,-0.06157270029673604,18
Couple,Rio de Janeiro,699.0,8.815328019619864,8.814285714285715,0.11680011229856016,0.008658860517741389,-0.059275154983309375,19
Couple,Mumbai,701.0,8.78520480945588,8.785714285714286,0.11854082272388172,0.008775361161718233,-0.05534950071326677,20
Couple,New York,671.0,8.782286565893122,8.785714285714286,0.11694451146847344,0.008848601873143276,-0.04264778936910091,21
Couple,Buenos Aires,652.0,8.779557405784399,8.785714285714285,0.11542646358122512,0.008860080412904599,-0.04383946830265856,22
Couple,Mexico City,660.0,8.712705627705628,8.714285714285714,0.11532280065183532,0.008798310497429952,-0.011616161616161448,23
Couple,Cairo,748.0,8.708307868601985,8.714285714285714,0.11512413035983016,0.008250335984608557,-0.015797682709447234,24
Couple,Lagos,696.0,8.65016420361248,8.657142857142857,0.12188254181670001,0.009055093816771088,0.026532567049808543,25
Family,Dubai,452.0,9.194816687737042,9.2,0.11856590538487233,0.010930667304485765,-0.008443952802360042,1
Family,Amsterdam,444.0,9.186936936936938,9.185714285714285,0.11788657298746989,0.010965512367605925,-0.01460210210210198,2
Family,Shanghai,481.0,9.152093852093852,9.157142857142858,0.11821719324563665,0.010564870478609463,0.017255717255717423,3
Family,Singapore,465.0,9.14273425499232,9.142857142857142,0.11760116550064569,0.010689101987358132,0.007670250896057519,4
Family,Toronto,460.0,9.137111801242236,9.142857142857142,0.12247829497607263,0.011192736699085793,0.016884057971014308,5
Family,Rome,520.0,9.133434065934066,9.128571428571428,0.11578420291930852,0.009951847440586284,0.015512820512820628,6
Family,Barcelona,456.0,9.13110902255639,9.128571428571428,0.11694053792900874,0.01073343516505797,0.013157894736842219,7
Family,Wellington,475.0,9.11648120300752,9.114285714285716,0.11610179470664822,0.01044114674703548,0.03049122807017544,8
Family,Seoul,503.0,9.111360408974722,9.1,0.11533720283955856,0.01007955812272772,0.025149105367792947,9
Family,Berlin,477.0,9.10041928721174,9.1,0.12320324010293991,0.011056534140019102,0.031306778476590046,10
Family,Bangkok,500.0,9.095371428571429,9.1,0.11661930442746861,0.01022213273379163,0.027400000000000233,11
Family,Cape Town,504.0,9.072363945578232,9.071428571428573,0.1226802675275011,0.01071064234813248,0.05453042328042334,12
Family,Moscow,468.0,9.067612942612943,9.071428571428571,0.11980335613414857,0.010854307708822024,0.04811253561253567,13
Family,Tokyo,484.0,9.061629279811099,9.071428571428571,0.11692144125954594,0.010416637494032275,0.04015151515151522,14
Family,Paris,469.0,9.035607675906183,9.028571428571428,0.11826708200705306,0.010703690223142603,0.05209665955934609,15
Family,Istanbul,478.0,9.010221159593545,9.014285714285714,0.11773636426082645,0.010554866474093996,0.07527894002789375,16
Family,Sydney,469.0,8.991532135242158,9.0,0.1149196690283629,0.010400734650342644,0.07508884150675166,17
Family,Rio de Janeiro,465.0,8.968479262672812,8.971428571428572,0.11718569114515069,0.010651338350066684,0.10071684587813631,18
Family,London,433.0,8.967601451666118,8.971428571428572,0.11673735262983118,0.010995676732982894,0.08260200153964573,19
Family,Mumbai,480.0,8.943928571428573,8.942857142857143,0.11823856706072453,0.010577781956553534,0.10920138888888889,20
Family,New York,493.0,8.929527673138221,8.928571428571429,0.11102489320046803,0.00980060702865288,0.11118999323867472,21
